sim,sampled_years,value_per_share
0,"[2019, 2026, 2024, 2023, 2019]",3073.86
1,"[2026, 2018, 2018, 2018, 2026]",2618.2
2,"[2023, 2019, 2023, 2025, 2018]",3226.67
3,"[2024, 2023, 2026, 2018, 2018]",3268.6
4,"[2019, 2024, 2025, 2026, 2018]",2736.65
5,"[2023, 2023, 2024, 2023, 2019]",3489.71
6,"[2024, 2018, 2018, 2024, 2025]",2249.47
7,"[2023, 2024, 2018, 2025, 2019]",2951.06
8,"[2019, 2018, 2026, 2024, 2024]",2954.0
9,"[2026, 2023, 2024, 2025, 2019]",3359.07
10,"[2024, 2025, 2026, 2019, 2019]",2775.11
11,"[2024, 2025, 2023, 2024, 2019]",2782.64
12,"[2023, 2019, 2026, 2024, 2023]",4568.4
13,"[2025, 2023, 2019, 2023, 2026]",2556.87
14,"[2018, 2025, 2025, 2019, 2023]",3407.04
15,"[2024, 2026, 2018, 2018, 2026]",2610.92
16,"[2024, 2025, 2018, 2019, 2025]",2180.83
17,"[2025, 2018, 2025, 2025, 2019]",2367.92
18,"[2023, 2023, 2025, 2024, 2019]",3244.17
19,"[2023, 2024, 2023, 2018, 2024]",3434.49
20,"[2019, 2026, 2019, 2019, 2018]",2966.14
21,"[2024, 2019, 2024, 2019, 2024]",2816.93
22,"[2026, 2018, 2024, 2024, 2019]",3042.9
23,"[2026, 2019, 2018, 2024, 2025]",2582.43
24,"[2025, 2025, 2026, 2018, 2019]",2601.54
25,"[2025, 2019, 2024, 2024, 2018]",2581.98
26,"[2019, 2024, 2025, 2019, 2024]",2704.92
27,"[2019, 2024, 2019, 2023, 2018]",2799.29
28,"[2018, 2019, 2026, 2023, 2018]",2964.51
29,"[2018, 2025, 2025, 2018, 2024]",2547.72
30,"[2018, 2026, 2024, 2026, 2026]",2689.27
31,"[2019, 2019, 2025, 2026, 2019]",2615.34
32,"[2019, 2018, 2026, 2024, 2018]",2859.25
33,"[2019, 2023, 2019, 2019, 2025]",2458.0
34,"[2024, 2024, 2023, 2023, 2018]",3112.42
35,"[2018, 2026, 2019, 2019, 2024]",3038.03
36,"[2018, 2019, 2023, 2023, 2024]",3043.13
37,"[2019, 2018, 2019, 2026, 2023]",3754.37
38,"[2023, 2025, 2026, 2023, 2019]",3258.09
39,"[2018, 2018, 2023, 2024, 2025]",2366.42
40,"[2025, 2024, 2018, 2026, 2019]",2614.92
41,"[2026, 2025, 2024, 2023, 2018]",3169.04
42,"[2023, 2023, 2018, 2018, 2023]",4607.58
43,"[2025, 2026, 2024, 2023, 2026]",2623.76
44,"[2026, 2023, 2023, 2018, 2019]",3626.61
45,"[2023, 2023, 2025, 2023, 2023]",4751.81
46,"[2025, 2024, 2026, 2024, 2025]",2370.47
47,"[2026, 2019, 2026, 2023, 2025]",2937.13
48,"[2026, 2026, 2024, 2025, 2023]",4828.04
49,"[2019, 2019, 2025, 2018, 2019]",2498.09
50,"[2018, 2024, 2026, 2019, 2023]",3988.33
51,"[2023, 2018, 2023, 2018, 2023]",4455.05
52,"[2024, 2019, 2023, 2024, 2025]",2464.67
53,"[2026, 2018, 2019, 2025, 2023]",4163.95
54,"[2025, 2018, 2023, 2018, 2018]",2713.65
55,"[2019, 2023, 2019, 2025, 2023]",3988.96
56,"[2024, 2024, 2024, 2024, 2019]",2736.03
57,"[2026, 2026, 2024, 2024, 2018]",3559.01
58,"[2019, 2024, 2018, 2023, 2023]",3835.49
59,"[2024, 2019, 2023, 2018, 2024]",3003.31
60,"[2019, 2023, 2023, 2019, 2019]",3096.53
61,"[2026, 2018, 2023, 2023, 2025]",2906.38
62,"[2024, 2024, 2023, 2025, 2018]",2937.77
63,"[2019, 2026, 2023, 2025, 2023]",4387.56
64,"[2019, 2018, 2018, 2025, 2024]",2645.62
65,"[2024, 2018, 2019, 2018, 2024]",2753.53
66,"[2024, 2026, 2023, 2019, 2018]",3300.43
67,"[2018, 2023, 2026, 2024, 2024]",3294.89
68,"[2019, 2025, 2023, 2023, 2018]",2887.64
69,"[2019, 2023, 2023, 2018, 2019]",3090.58
70,"[2018, 2025, 2018, 2026, 2026]",2266.92
71,"[2019, 2024, 2019, 2018, 2026]",2306.29
72,"[2019, 2018, 2019, 2024, 2025]",2201.34
73,"[2019, 2018, 2023, 2023, 2023]",4060.83
74,"[2018, 2026, 2023, 2024, 2025]",2693.87
75,"[2019, 2018, 2026, 2023, 2023]",4096.61
76,"[2019, 2023, 2018, 2019, 2018]",2917.07
77,"[2019, 2019, 2024, 2025, 2024]",2712.78
78,"[2023, 2023, 2023, 2018, 2018]",3642.81
79,"[2023, 2026, 2018, 2023, 2026]",3073.07
80,"[2026, 2025, 2019, 2024, 2019]",2931.74
81,"[2025, 2019, 2019, 2025, 2018]",2495.08
