year,sales,raw_material_cost,change_in_inventory,power_fuel,other_mfr_exp,employee_cost,selling_admin,other_expenses,other_income,depreciation,interest,ebt,tax,net_profit,dividend_amount,equity_share_cap,total_debt,total_assets,equity_shares,reserves,debt,fixed_assets,debtors,inventory,cash_operating,payables,cogs,ebitda,ebit,sales_growth,ebitda_growth,ebit_growth,net_profit_growth,gross_profit,gross_margin,ebitda_margin,ebit_margin,ebt_margin,net_margin,avg_debtors,debtor_turnover,inventory_turnover,creditor_turnover,fixed_asset_turnover,capital_employed,capital_turnover,debtor_days,payables_days,inventory_days,cash_conversion_cycle,roce,interest_coverage,debt_to_ebitda,credit,era,roce_flag,cash_conversion_cycle_flag,capex,nwc,dNWC,capex_pct_sales
2017,13260.83,9821.14,313.71,43.84,160.42,894.32,1211.16,279.76,-42.38,110.53,37.74,973.25,275.97,711.47,230.83,88.78,8407.57,8407.57,887786160.0,4143.6,1882.43,1188.72,207.6,4925.74,1712.3,2292.76,10606.01,1163.8999999999996,1053.3699999999997,,,,,2654.82,0.2002,0.0878,0.0794,0.0734,0.0537,,,2.69,5.78,11.16,6114.81,2.17,,63.0,136.0,,0.1723,27.91,1.6,Watch,Pre-COVID,False,False,,4552.88,,
2018,16119.77,12664.83,978.61,45.32,124.83,906.26,1277.81,435.13,69.93,131.43,52.92,1529.78,427.87,1130.09,332.92,88.78,9521.04,9521.04,887786160.0,5001.1,1691.01,1473.81,295.69,5924.84,-51.12,2740.15,12762.63,1644.2000000000012,1512.7700000000011,0.2156,0.4127,0.4361,0.5884,3357.140000000001,0.2083,0.102,0.0938,0.0949,0.0701,251.645,64.06,2.72,5.88,10.94,6780.89,2.38,6.0,62.0,134.0,78.0,0.2231,28.59,1.0,Healthy,Pre-COVID,False,False,416.5199999999999,3429.2599999999998,-1123.6200000000003,0.02583907834913277
2019,19778.52,15170.66,776.41,48.51,193.28,1024.44,1454.32,669.93,178.48,162.84,52.54,1956.89,568.24,1404.15,443.9,88.78,11709.84,11709.84,887786160.0,5981.37,2392.98,1566.63,420.45,7038.82,1242.92,3246.71,15660.48,1993.790000000001,1830.9500000000007,0.227,0.2126,0.2103,0.2425,4118.040000000001,0.2082,0.1008,0.0926,0.0989,0.071,358.07,55.24,2.81,6.09,12.62,8463.13,2.34,7.0,60.0,130.0,77.0,0.2163,34.85,1.2,Healthy,Pre-COVID,False,False,255.66000000000017,5455.479999999999,2026.219999999999,0.012926144119984719
2020,21052.0,16033.0,878.0,52.0,215.0,1204.0,1470.0,493.0,153.0,348.0,166.0,2102.0,609.0,1501.0,356.0,89.0,13544.0,13544.0,887786160.0,6580.0,3562.0,2633.0,312.0,8103.0,-348.0,3313.0,16626.0,2463.0,2115.0,0.0644,0.2353,0.1551,0.069,4426.0,0.2102,0.117,0.1005,0.0998,0.0713,366.225,57.48,2.6,6.35,8.0,10231.0,2.06,6.0,57.0,140.0,89.0,0.2067,12.74,1.4,Healthy,COVID,False,False,1414.37,4754.0,-701.4799999999987,0.06718459053771612
2021,21644.0,16292.0,-122.0,37.0,141.0,1069.0,1029.0,1229.0,180.0,375.0,203.0,1327.0,353.0,973.0,356.0,89.0,16444.0,16444.0,887786160.0,7408.0,5638.0,2523.0,366.0,8408.0,4139.0,3309.0,17661.0,1725.0,1350.0,0.0281,-0.2996,-0.3617,-0.3518,3983.0,0.184,0.0797,0.0624,0.0613,0.045,339.0,63.85,2.57,6.54,8.58,13135.0,1.65,6.0,56.0,142.0,92.0,0.1028,6.65,3.3,Stress,COVID,True,False,265.0,9604.0,4850.0,0.012243577896876733
2022,28799.0,26436.0,4795.0,45.0,183.0,1356.0,1697.0,533.0,177.0,399.0,218.0,2904.0,706.0,2173.0,667.5,89.0,21188.0,21188.0,887786160.0,9214.0,7275.0,2544.0,565.0,13609.0,-724.0,4610.0,23225.0,3344.0,2945.0,0.3306,0.9386,1.1815,1.2333,5574.0,0.1935,0.1161,0.1023,0.1008,0.0755,465.5,61.87,2.12,6.25,11.32,16578.0,1.74,6.0,58.0,172.0,120.0,0.1776,13.51,2.2,Watch,Recovery,False,False,420.0,8840.0,-764.0,0.014583839716656829
2023,40575.0,32589.0,2234.0,59.0,225.0,1656.0,2715.0,683.0,306.0,441.0,300.0,4447.0,1173.0,3250.0,890.0,89.0,27020.0,27020.0,890000000.0,11762.0,9367.0,2998.0,674.0,16584.0,1370.0,5802.0,32295.0,4882.0,4441.0,0.4089,0.4599,0.508,0.4956,8280.0,0.2041,0.1203,0.1095,0.1096,0.0801,619.5,65.5,2.45,6.99,13.53,21218.0,1.91,6.0,52.0,149.0,103.0,0.2093,14.8,1.9,Watch,Recovery,False,False,895.0,12826.0,3986.0,0.022057917436845348
2024,51084.0,42103.0,2671.0,71.0,286.0,1875.0,3249.0,879.0,534.0,584.0,619.0,4623.0,1127.0,3496.0,979.0,89.0,31547.0,31547.0,890000000.0,9304.0,15528.0,3709.0,1018.0,19051.0,1695.0,6626.0,41664.0,5292.0,4708.0,0.259,0.084,0.0601,0.0757,9420.0,0.1844,0.1036,0.0922,0.0905,0.0684,846.0,60.38,2.68,7.71,13.77,24921.0,2.05,6.0,47.0,136.0,95.0,0.1889,7.61,2.9,Watch,Recovery,False,False,1295.0,15138.0,2312.0,0.025350403257380003
2025,60456.0,55271.0,7815.0,78.0,326.0,2164.0,3494.0,1244.0,487.0,693.0,953.0,4535.0,1198.0,3337.0,979.0,89.0,40645.0,40645.0,890000000.0,11535.0,20777.0,4062.0,1068.0,28184.0,-541.0,8244.0,50024.0,5694.0,5001.0,0.1835,0.076,0.0622,-0.0455,10432.0,0.1726,0.0942,0.0827,0.075,0.0552,1043.0,57.96,2.15,7.33,14.88,32401.0,1.87,6.0,50.0,170.0,126.0,0.1543,5.25,3.6,Stress,Recovery,False,False,1046.0,20467.0,5329.0,0.0173018393542411
2026,87584.0,80243.0,9936.0,87.0,375.0,2692.0,4185.0,1581.0,450.0,826.0,1180.0,6801.0,1728.0,5073.0,1335.0,89.0,60561.0,60561.0,890000000.0,15614.0,30621.0,6878.0,916.0,42743.0,5590.0,14237.0,73461.0,8357.0,7531.0,0.4487,0.4677,0.5059,0.5202,14123.0,0.1613,0.0954,0.086,0.0777,0.0579,992.0,88.29,2.05,6.15,12.73,46324.0,1.89,4.0,59.0,178.0,123.0,0.1626,6.38,3.7,Stress,Recovery,False,False,3642.0,35012.0,14545.0,0.04158293752283522
